,sentence
957,The primary motivation is the preservation of tribal myths and a consolidation and sharing of every individual’s origins in nature. 162번 문단
958,"Lawyers and scientists use argument to mean a summary of evidence and principles leading to a conclusion; however, a scientific argument is different from a legal argument"
959,A prosecuting attorney constructs an argument to persuade the judge or a jury that the accused is guilty; a defense attorney in the same trial constructs an argument to persuade the same judge or jury toward the opposite conclusion
960,Neither prosecutor nor defender is obliged to consider anything that weakens their respective cases
961,"On the contrary, scientists construct arguments because they want to test their own ideas and give an accurate explanation of some aspect of nature"
962,"Scientists can include any evidence or hypothesis that supports their claim, but they must observe one fundamental rule of professional science"
963,They must include all of the known evidence and all of the hypotheses previously proposed
964,"Unlike lawyers, scientists must explicitly account for the possibility that they might be wrong. 163번 문단"
965,The idea of protecting intellectual activity and creation has deep roots
966,"The ancient Greeks used an awards system to recognize design achievements, which performed some of the same functions as the modern patent system"
967,"Their pottery, sculptures, and other manufactured goods had symbols on them to note the tradesmen who created them, which are the predecessors of modern trademarks"
968,"Similar marks and symbols functioning as trademarks have been found on Chinese pottery, possibly dating as far back as 2698 BCE, and in many other ancient societies, including the Egyptians, the Assyrians, and the Vedic civilization"
969,The concept of intellectual property continued to develop during the Roman period
970,The Roman Empire had an incredible variety of trademarks
971,"Roman potters alone used approximately 6,000 trademarks"
972,Their sense of injustice was probably heightened by the fact that there were laws and traditions in place that supported their belief that only they could exploit their creations
973,"Roman authors could, in fact, make money from the copying and publishing of their works because the value of their intellectual creations was recognized. 164번 문단"
974,"In an increasingly globalized world, literature in translation has an especially important role"
975,"Increasingly, writers, readers, and publishers are turning to literature as a bridge between cultures, particularly Western and Arab societies"
976,"This growing interest is, in turn, driving a boom in translation"
977,"However, not surprisingly perhaps, most translations are from English into other languages, not from another language, such as Arabic, into English"
978,"Bookstores in the United States, for example, rarely stock more than Nobel Prize winner Naguib Mahfouz’s Cairo Trilogy, a masterful, realistic account of life in Cairo and of a merchant family in the mid-20th century"
979,"Western readers likely know little of Mahfouz’s more experimental work, his political and religious allegories, or his historical dramas"
980,The result is a kind of one-way mirror between America and the rest of the world. 165번 문단
981,We tend to assume that the way to get more time is to speed up
982,But speeding up can actually slow us down
983,Anyone who has ever rushed out of the house only to realize that their keys and wallet are sitting on the kitchen table knows this only too well
984,And it’s not just our efficiency that is reduced
985,"The quality of the experience suffers too, as we become less aware or ‘mindful.’ Have you ever eaten an entire meal without tasting any of it? Hurrying up doesn’t just give us less time, it can also steal the pleasure and benefit from the time that we do have"
986,"For many of us, hurrying is a way of life"
987,Some of us enjoy the thrill that it gives us while others are driven crazy by the constant pressure and feel that their lives are speeding up to an unacceptable degree. 166번 문단
988,"The audience receives a sound signal entirely through the vibrations generated in the air, whereas in a singer some of the auditory stimulus is conducted to the ear through the singer’s own bones"
989,"Since these two ways of transferring sound have quite different relative efficiencies at various frequencies, the overall quality of the sound will be quite different"
990,"You have probably experienced this when you have listened to your own voice, as on tape or through a public address system"
991,"It is easy to blame the ‘sound of a stranger’ on ‘poor electronics,’ but this is only partly justified"
992,The major effect comes from the fact that you hear yourself differently from the way others hear you
993,"This is one of the main reasons why even the most accomplished singers have to listen to the opinion of coaches and voice teachers as to ‘how they sound,’ whereas no concert violinist would have to do such a thing. 167번 문단"
994,Problems can be distinguished according to whether they are reasonable or unreasonable
995,Reasonable problems are of the kind that can be solved in a step-by-step manner
996,A crossword puzzle is of this nature
997,"Given a sufficient vocabulary, the empty spaces can be filled in one by one"
998,"This feature frustrates any step-by-step process that proceeds without the realization that “things aren’t what they seem.” Riddles provide commonplace instances of such insight problems, such as the classic riddle that the Sphinx posed to Oedipus. 168번 문단"
999,There are two types of managers in business organizations: functional managers and project managers
1000,Both types of managers have different roles and qualities
1001,"Functional managers head one of a firm’s departments such as marketing or engineering, and they are specialists in the area they manage"
1002,"They are skilled at breaking the components of a system into smaller elements, knowing something of the details of each operation for which they are responsible"
1003,"On the other hand, project managers begin their career as specialists in some field"
1004,"When promoted to the position of project manager, they must transform from technical caterpillar to generalist butterfly"
1005,"They oversee many functional areas, each with its own specialists"
1006,"Therefore, what is required is an ability to put many pieces of a task together to form a coherent whole"
1007,"Thus, to understand a frog, for example, functional managers cut it open to examine it, but project managers watch it swim with other frogs and consider the environment. 169번 문단"
1008,"It isn’t going to be easy making changes to the food your children eat, and even the most careful, patient parents will probably find that the little ones will resist at some point and to some degree"
1009,The problem is that many of us were forced to eat in a healthy way as children: we learned the hard way
1010,And the temptation to continue with these parental habits with our own children is strong
1011,"If you were made to sit at the table until you had cleaned your plate, you are not alone: most of the adult population have suffered this at some point ― at school if not at home"
1012,"“Sit there until you finish” may be how we learned, and may also be the only way you feel able to achieve your goal, but think about it: the experience of eating a pile of unwanted cabbage until they feel sick is hardly going to make children jump for joy the next time it is served"
1013,"This strict approach is very old-fashioned, and you may win the battle but you definitely won’t win the war"
1014,"Delaying puddings used to be thought of as a good idea too, but guess what? That doesn’t work either"
1015,"“No pudding until you have finished your main course” was the standard line when most parents of today were young and is still commonly used, but it only makes sweet things seem more desirable. 170번 문단"
1016,I used to train with a world-class runner who was constantly hooking himself up to pulse meters and pace keepers
1017,He spent hours collecting data that he thought would help him improve
1018,"In fact, a good 25 percent of his athletic time was devoted to externals other than working out"
1019,Sports became so complex for him that he forgot how to enjoy himself
1020,"Contrast his approach with that of the late Abebe Bikila, the Ethiopian who won the 1960 Olympic Marathon running barefoot"
1021,High-tech clothing and digital watches were not part of his world
1022,"Abebe Bikila simply ran. Many times in running, and in other areas of life, less is more. 171번 문단"
1023,"The origins of contemporary Western thought can be traced back to the golden age of ancient Greece, when Greek thinkers laid the foundations for modern Western politics, philosophy, science, and law"
1024,Their novel approach was to pursue rational inquiry through adversarial discussion
1025,"In the political sphere, the result was democracy, in which supporters of rival policies vied for rhetorical supremacy; in philosophy, it led to reasoned arguments and dialogues about the nature of the world; in science, it prompted the construction of competing theories to try to explain natural phenomena; in the field of law, the result was the adversarial legal system"
1026,"This approach is the foundation for the modern Western way of life, in which politics, commerce, science, and law are all rooted in orderly competition. 172번 문단"
1027,I would like to compare the shift from analog to digital film-making to the shift from fresco and tempera to oil painting in the early Renaissance
1028,"A painter making a fresco has limited time before the paint dries, and once it has dried, no further changes to the image are possible"
1029,"Similarly, a traditional filmmaker has limited means of modifying images once they are recorded on film"
1030,Medieval tempera painting can be compared to the practice of special effects during the analog period of cinema
1031,"A painter working with tempera could modify and rework the image, but the process was painstaking and slow"
1032,The switch to oils greatly liberated painters by allowing them to quickly create much larger compositions as well as to modify them as long as necessary. 173번 문단
1033,"When there is a discrepancy between the verbal message and the nonverbal message, the latter typically weighs more in forming a judgment"
1034,"In spite of the verbal comment, the lack of expressive enthusiasm suggests that the plan isn’t viewed very positively"
1035,"In such a case, the purpose of the positive comment might be to avoid a disagreement and support the friend, but the lack of a positive expression unintentionally leaks a more candid, negative reaction to the plan"
1036,"Of course, the muted expressive display might also be strategic and intentional"
1037,It is then the partner’s responsibility to interpret the nonverbal message and make some adjustment in the plan. 174번 문단
1038,"An ant turns right, left, and moves ahead over a sandy hill"
1039,"How can we explain the complexity of the path it chose? We can think up a sophisticated program in the ant’s brain, but it does not work"
1040,What we have overlooked is the ant’s environment
1041,The ant may be following a simple rule: get out of the sun and back to the nest
1042,Complex behavior does not imply complex mental strategies
1043,The same holds for humans
1044,The apparent complexity of a man’s behavior over time is largely a reflection of the complexity of the environment in which he finds himself
1045,"People adapt to their environments much as gelatin does; if you wish to know what form it will have when it solidifies, study the shape of the mold that holds the gelatin"
1046,"To understand behavior, one has to look at both the mind and the environment. 175번 문단"
1047,"When someone asks us, “How does that work?” or “Why does that happen?” we tend to answer the question directly if we know the answer"
1048,"After all, it is efficient"
1049,Another person asks a question; we provide the answer to the question
1050,It is usually a win-win. The problem with this is that the direct approach can have an unintended consequence: the loss of confidence
1051,"Although the question wanted for an explanation, what the asker received was a statement of fact"
1052,Why does oil float on top of water in a glass? Relative density
1053,What causes climate change? Increased CO2 in the atmosphere
1054,Why does the ocean have tides? The moon
1055,"Giving direct, accurate, and factual answers may seem to solve the problem from the perspective of the answerer"
1056,"But in reality, it can shut the asker down"
1057,A statement of fact with no other context puts the burden on the asker to take the next step
1058,"If the asker isn’t familiar with relative density or CO2, he or she is likely to move on rather than ask a follow-up question or probe for related ideas"
1059,Any hope of becoming a customer of that idea is lost
1060,This is a failure in the form of a lost opportunity
1061,"Although direct answers are often needed and well-placed, they do not work universally. 176번 문단"
1062,"Appearance creates the first impression customers have of food, and first impressions are important"
1063,"No matter how appealing the taste, an unattractive appearance is hard to overlook"
1064,"As humans, we do “eat with our eyes” because our sense of sight is more highly developed than the other senses"
1065,The sense of sight is so highly developed in humans that messages received from other senses are often ignored if they conflict with what is seen
1066,"Strawberry ice cream tinted with red food coloring seems to have a stronger strawberry flavor than one that has no added food coloring, even when there is no real difference. 177번 문단"
1067,The Rust Belt is notorious for its poor air quality
1068,"For decades, coal plants, steel production, and auto emissions have pumped particulates like sulfate into the atmosphere over the eastern U.S"
1069,"Especially before air quality laws began appearing in the 1970s, particulate pollution was behind acid rain, respiratory disease, and ozone depletion"
1070,"But a new study from Harvard University suggests that the Rust Belt’s thick particulate fog may have helped slow down the effects of climate change, particularly when it was thickest"
1071,"Throughout the 20th century, global temperatures have gone up by just under one degree Celsius"
1072,"But in the U.S., eastern and central states haven’t seen the same rise"
1073,"In fact, temperatures there actually decreased over the same period"
1074,The reason seems to be particulate pollution
1075,"Instead of trapping warm air in the atmosphere like carbon dioxide, fine particles like sulfate reflect the sun’s light and heat"
1076,"They may even group with watery cloud droplets, which do the same thing. 178번 문단"
1077,Suppose a survivor from an airplane crash with severe injuries struggles for days through the jungle but dies just before reaching a village
1078,"It is tempting to think “if only he had managed to walk to the village, he would have been rescued.” But suppose you must try to console the victim’s relatives"
1079,What might you say? Or suppose you wish to defend the rescue team who got as far as the village but no further
1080,Your motivation to console or defend may influence the alternative you imagine
1081,"You may decide to emphasize the severity of the victim’s injuries and suggest “even if he had managed to walk to the village, he still would have died.” Sometimes thoughts about what might have been change an antecedent event (the victim walked to the village) but leave the outcome unchanged (he still died)"
1082,“Even if...” conditionals have been called “semifactual” because they combine a counterfactual antecedent and a factual consequence. 179번 문단
1083,"It all started when researchers reported that after exposure to a selection of Mozart’s music, college students showed an increase in spatial reasoning for about 10 minutes on tasks like putting together pieces of a jigsaw puzzle"
1084,"Note first that the research was done on college students, not infants, and that the effect was very brief"
1085,"In addition, no one’s been able to replicate the research"
1086,"The increase in spatial reasoning, it turns out, can be generated by any auditory stimulation (e.g., listening to a short story or other types of music) that keeps people alert while being tested"
1087,"However, none of this has stopped eager parents ― spurred on by fantastic claims from unethical companies ― from purchasing Mozart CDs for their babies. 180번 문단"
1088,The fault lies not with leadership but rather with ourselves and our expectations
1089,"In the old days, leaders were supposed to make sense of chaos, to make certainty out of doubt, and to create positive action plans for the resolution of paradoxes"
1090,Good leaders straightened things out
1091,"Should chaos rear its ugly head, the leader was expected to restore normality immediately"
1092,"But chaos is now considered normal, paradoxes cannot be resolved, and certainty is possible only to the level of high probability"
1093,Leadership that attempts to deliver in terms of fixing any of these can only fail
1094,And that is exactly what is happening. 181번 문단
1095,"Responses might include increasing marketing efforts, offering discounts to channel partners, and even lobbying for regulations that would hinder the rival’s expansion"
1096,"In many cases, though, such actions are misguided"
1097,"Although the conventional wisdom that a rival’s launch will hurt profits is often correct, my research shows that companies sometimes see profits increase after a rival’s launch"
1098,"The underlying mechanism is pretty simple: When a company comes out with a new product, it often raises the prices of its existing products"
1099,"As that company adjusts its pricing, its competitors can do the same without risking customer defections over price. 182번 문단"
1100,"All human societies have economic systems within which goods and services are produced, distributed, and consumed"
1101,"In one sense, the economic aspect of culture is simply the sum of the choices people make regarding these areas of their lives"
1102,These choices critically determine much of people’s lives
1103,"However, such choices are not unlimited; rather, they are limited by our cultures, traditions, and technologies"
1104,"To the extent that economic systems are part of culture, people in different cultures have different sorts of economic behavior. 183번 문단"
1105,"A narrative is not a myth the first time it is told, but only a story or an account"
1106,What makes a story a myth is the fact that it is received by a given society and that a given society participates in its transmission
1107,"Obviously, it is difficult to determine just when any story becomes a myth, but it is clear that a narrative is not a myth when it is first told"
1108,"The intentions of the first narrator and the last narrator can be the same, but this still does not give any special status to the creator of a myth"
1109,It is far more important to realize that the intentions of a given society in transmitting a narrative may have nothing to do with the purposes of its author
1110,Thus we can never identify any individual creator of a myth
1111,"So long as myth is a collective narrative by definition, the only relevant consideration are the mentality and purposes of the society for which the myth is a myth. 184번 문단"
1112,Carrying capacity is the number of individuals that the local resources can sustain
1113,Individuals in a population that has exceeded the carrying capacity of its habitat may have poor health and suffer from malnutrition because of the compromised living conditions
1114,"When this happens, the weakest individuals may die, or the population as a whole may become more vulnerable to further environmental stress or disease"
1115,Sometimes a large number of individuals in a population die as a result of overshooting the carrying capacity of their habitat
1116,This is known as a die-off
1117,"Certain animals and plants have a built-in sense of carrying capacity, so that instead of overshooting and having a die-off, they remain within the limits of their habitat’s ability to support them"
1118,"Lake trout, for instance, stop breeding as prolifically when the population density increases too dramatically"
1119,"The trout will produce more offspring and mature to a reproductive size at a faster rate when populations are threatened, such as when aggressive fishing takes place"
1120,"When space and food are scarce, such as when a lot of fish are living together in a small pond, the trout remain smaller and reproduce more slowly"
1121,"Experiments have shown that no matter what number of lake trout a pond is stocked with in the beginning, the population will increase until it reaches a particular density, then level off at about the same number. 185번 문단"
1122,It is known that people are extremely limited in the amount of information that they can process at any given time
1123,A common metaphor in early theories of attention is the concept of a bottleneck
1124,This metaphor is especially appealing because it matches our understanding about attention
1125,The narrow neck of a bottle restricts the flow into or out of the bottle
1126,This kind of flow in the narrow passageway is similar to the way people process information
1127,"Thus, when one message is currently flowing through a bottleneck, the other messages must be left behind. 186번 문단"
1128,Consider how often you’ve passed someone who is pulled over on the side of the road with car trouble
1129,It is easy to justify your failure to help by telling yourself someone else will stop
1130,Corporations add another layer of complication to the story of reduced personal responsibility in group settings because corporations are set up to assign legal responsibility to the corporation itself instead of to its members
1131,There are other complex organizations in which the individual members are often not sure of their impact or power to bring about change
1132,"In this kind of culture, “someone else will do it” is a common excuse. 187번 문단"
1133,"Appearance creates the first impression customers have of food, and first impressions are important"
1134,"No matter how appealing the taste, an unattractive appearance is hard to overlook"
1135,"As humans, we do “eat with our eyes” because our sense of sight is more highly developed than the other senses"
1136,The sense of sight is so highly developed in humans that messages received from other senses are often ignored if they conflict with what is seen
1137,"Strawberry ice cream tinted with red food coloring seems to have a stronger strawberry flavor than one that has no added food coloring, even when there is no real difference. 188번 문단"
1138,"When plants were first grouped together, it was merely for convenience"
1139,"Even today, plants may be categorized together in unnatural groupings in order to make them easier to identify"
1140,"However, such groupings do not reflect natural relationships and make it difficult to recognize family characteristics"
1141,"We don’t infer that all persons with red hair are more closely related to each other than they are to those with dark hair; likewise, all long-haired dogs are not more closely related to each other than they are to short-haired dogs. 189번 문단"
1142,"Because the Internet is free space where anybody can post anything, it can be full of all sorts of useless data"
1143,"As a result, organized knowledge could easily get corrupted or lost in a sea of junk data"
1144,"For books, there are various filters that help readers distinguish between reliable and unreliable information"
1145,"On the Internet, the relation between the producer and the consumer of information tends to be direct, so nothing protects the consumer from polluted information"
1146,"There are, of course, advantages to the free exchange of information, and I do believe any producers of data should have the freedom to make them available online"
1147,There need to be some forms of guides and filters provided by responsible individuals and organizations
1148,"Otherwise, we may no longer be able to distinguish between the intellectual space of information and a polluted environment of meaningless data"
1149,"Thus, reliable intermediary services will be needed in the future. 190번 문단"
1150,The sun is slowly getting brighter as its core contracts and heats up
1151,"In a billion years it will be about 10 percent brighter than today, heating the planet to an uncomfortable degree"
1152,"Water evaporating from the oceans may set off a runaway greenhouse effect that turns Earth into a damp version of Venus, wrapped permanently in a thick, white blanket of cloud"
1153,"Or the transformation may take some time and be more gentle, with an increasingly hot and cloudy atmosphere able to shelter microbial life for some time"
1154,"Either way, water will escape into the stratosphere and be broken down by UV light into oxygen and hydrogen. 191번 문단"
1155,Imagine a child playing on the beach below a cliff
1156,"He finds a cave, and full of excitement, goes in"
1157,"Suddenly fear seizes him. In the deep dark of the cave, he cannot see the way ahead"
1158,What is frightening him is the sense of the unknown stretching into the black distance
1159,"Worries can be like this. Our anxiety is not about something specific, but more of a sense that unknown and uncertain possibilities may be out of sight far ahead"
1160,We can stop these worries from growing
1161,A powerful torch or flashlight could have shown the child the limits of the cave
1162,"“What is the worst that can happen?” More often than not, the worst that we fear is much less terrible than our vague, unarticulated fear"
1163,"Once we know the worst, we can face it directly and work out more sensibly what to do. 192번 문단"
1164,People have found many ways to reduce stress or control their responses to it
1165,"Possibilities include special breathing routines, exercise, meditation, and distraction, as well as trying to deal with the problem that caused the stress"
1166,"Social support is one of the most powerful methods of coping with stress, and researchers have demonstrated its effectiveness by brain measurements as well as people’s self-reports"
1167,"In one study, happily married women were given moderately painful shocks to their ankles"
1168,"On various trials, they held the hand of their husband, a man they did not know, or no one"
1169,Holding the husband’s hand reduced the response in several brain areas
1170,"Holding the hand of an unknown man reduced the response a little, on the average, but not as much as holding the husband’s hand. 193번 문단"
1171,Lifeline infrastructures are vital systems that support a nation’s economy and quality of life
1172,"Modern economies rely on the ability to move goods, people, and information safely and reliably"
1173,Adding to their importance is that many of the lifeline systems serve vital roles in disaster recovery
1174,"Consequently, it is of the utmost importance to government, business, and the public at large that the flow of services provided by a nation’s infrastructure continues unimpeded in the face of a broad range of natural and technological hazards"
1175,The linkage between systems and services is critical to any discussion of infrastructure. 194번 문단
1176,"Essentially the same structural forms of politics can nevertheless take on very different “flavors.” For example, a dictatorship can, in theory, be brutal or benevolent; anarchy can, in theory, consist of “mutual aid” or a “war of all against all” that proceeds in the absence of any rule of law whatsoever; democracies can and typically are distinguished in terms of the extent to which they are socially oriented as opposed to individualistically oriented"
1177,"Indeed, political structure, by itself, does not determine political content this is precisely why we vote within a democratic structure: to determine the “flavor” we want that democratic structure to have. 195번 문단"
1178,"The greatest errors in judging a person are made by his parents; this is a fact, but how is one to explain it? Do the parents have too much experience of the child, and can they no longer compose it into a unity? We notice that travelers in a strange land grasp correctly the common, distinctive traits of a people only in the first period of their stay; As soon as they see up close, they stop being farsighted"
1179,Might parents judge their children wrongly because they have never stood far enough off from them? A quite different explanation would be the following
1180,"When parents are required to judge their children, it is perhaps their customary thoughtlessness that makes them judge so mistakenly. 196번 문단"
1181,Persuasion is the strategic use of language to move an audience
1182,It works by appealing to our emotion as well as by appealing to our reason
1183,"Therefore, sometimes you may try to appeal to an emotion in your audience by imitating it: hysteria by being hysterical, anger by raging"
1184,"However, the best measure is to appear calm, detached, thoroughly in control of your feelings, while you are controlling your narrative for your own purposes"
1185,Even your choice of words should be selective; you must pay attention to their nuances. 197번 문단
1186,"All art is creation, regardless of how closely the imitation approximates the original"
1187,Even the most rigorous attempt to create an absolute likeness is ultimately selective
1188,"Doing a portrait, for example, the artist may ask the subject to look serious, not smile ― selecting a certain aspect of the person"
1189,"We know Mona Lisa Giaconda, the subject of the most famous portrait in the world, through her mysterious smile; but we will never know what the entire person was like"
1190,"The treasure of art, however, is that its reality lives forever"
1191,"The final product is really an addition to reality, not simply a way of totally reproducing it"
1192,"The artist always contributes something new, something that never was put together in precisely that way before"
1193,Leonardo’s Mona Lisa is not Mona Lisa
1194,The latter has long since gone to her reward; the former will never die. 198번 문단
1195,"All his life, Chris Greicius dreamed of becoming a police officer"
1196,But there was a major obstacle standing in his way
1197,He had leukemia and was not expected to make it to adulthood
1198,"When he was seven years old, Chris’s disease got worse"
1199,He called Officer Ron Cox and arranged for Chris to spend a day with some police officers
1200,"When the day arrived, Chris was welcomed by three squad cars and a police motorcycle ridden by Officer Frank Shankwitz"
1201,"Then, he was treated to a ride in a police helicopter"
1202,The officers finished the day by swearing Chris in as the first ― and only ― honorary state trooper
1203,"The next day, Cox presented Chris with an official Arizona Highway Patrol uniform"
1204,"With a smile that lit up the room, he accepted it"
1205,"Two days later, Chris died in the hospital, his uniform close at hand"
1206,"Shankwitz was very sad, but grateful that he had helped Chris"
1207,He also realized that there were many other children like Chris
1208,That prompted Shankwitz to co-found the Make-A-Wish Foundation
1209,"It has now become the largest wish-granting organization in the world, enlarging the experiences of more than eighty thousand children. 199번 문단"
1210,"The wrapping of Christmas presents, William Waits notes, is a fairly recent phenomenon in American life"
1211,"It arose at the turn of the 20th century, during a period when hand-made presents were giving way to machine-made, store-bought ones"
1212,"For both givers and manufacturers, this shift presented a problem, for the machine-made items, precisely because they were convenient, represented less of the giver’s personal attention than the hand-made items had done; thus they were symbolically less intimate"
1213,"To disguise this loss of symbolic value, and to invest the manufactured items with a personal touch, retailers encouraged shoppers to have their purchases gift-wrapped. 200번 문단"
1214,"Some people tend to be late as a general rule, whether they are busy or not"
1215,"To stop being late, all one has to do is change the motivation by deciding that in all circumstances being on time is going to have first priority over any other consideration"
1216,Presto! You will never have to run for a plane or miss an appointment again
1217,"As a lifelong latecomer, that is how I cured myself"
1218,"The answers are always no, and yes"
1219,"Choosing to be on time will make your life enormously easier, and that of your family, friends, and colleagues as well. 201번 문단"
1220,"The hazards of migration range from storms to starvation, but they are outweighed by the advantages to be found in the temporary superabundance of food in the summer home"
1221,The process of evolution ensures that a species migrates only if it pays it to do so
1222,"Birds of the same species may be migratory in one area, but sedentary elsewhere"
1223,"Most song thrushes migrate from northern Scotland; Moreover, England’s winters have been getting warmer since the late 1980’s and if the trend continues it is likely that our song thrushes will become increasingly sedentary. 202번 문단"
1224,"At first, this seems like a strange idea: Darwin’s theories of evolution presume that individuals should act to preserve their own interests, not those of the species as a whole"
1225,But the British evolutionary biologist Richard Dawkins believes that natural selection has given us the ability to feel pity for someone who is suffering
1226,"When humans lived in small clan-based groups, a person in need would be a relative or someone who could pay you back a good turn later, so taking pity on others could benefit you in the long run"
1227,"Modern societies are much less close-knit and when we see a heartfelt appeal for charity, chances are we may never even meet the person who is suffering ― but the emotion of pity is still in our genes. 203번 문단"
1228,"Essentially, your reputation is your most valuable asset ― so guard it well"
1229,But do not be terribly demoralized if you make some mistakes along the way
1230,With time it is possible to repair a stained reputation
1231,Every experience you have with someone else is like a drop of water falling into a pool
1232,"As your experiences with that person grow, the drops accumulate and the pool deepens"
1233,Positive interactions are clear drops of water and negative interactions are red drops of water
1234,"But they are not equal. Those who are very forgiving only need a few positive experiences ― clear drops ― to dilute a bad experience, while those who are less forgiving need a lot more to wash away the red. 204번 문단"
1235,"When you are picking out products in the grocery store, searching for the best possible strawberry jam, you are trying to maximize your own enjoyment"
1236,You are the only person that matters; it is your sense of pleasure that you are trying to please
1237,"However, when you are making a moral decision, this egocentric strategy backfires"
1238,Moral decisions require taking other people into account
1239,You cannot act like a greedy brute or let your anger get out of control
1240,Selfishness needs to be balanced by some selflessness. 205번 문단
1241,"We tend to consider ourselves as rational decision makers, logically evaluating the costs and benefits of each alternative we encounter"
1242,A team of economists looked at how consumers reacted to various pitches by banks to take out a loan
1243,A purely rational view would have predicted that interest rates would be the only factor that had an impact
1244,But the scientists varied more than just the interest rate; they also tested how persuasive other approaches might be
1245,They found that such an offer increased loan inquiries by as much as dropping the interest rate five points
1246,"For a $50,000 loan, this meant some customers were in essence willing to pay $16,000 more in interest to receive a $100 cell phone. 206번 문단"
1247,"Behavioral evidence for separate types of taste receptors comes from studies of the following type: Soak your tongue for 15 seconds in a sour solution, such as unsweetened lemon juice"
1248,"Then try tasting some other sour solution, such as dilute vinegar"
1249,You will find that the second solution tastes less sour than usual
1250,"Depending on the concentrations of the lemon juice and vinegar, the second solution may not taste sour at all"
1251,"This phenomenon, called adaptation, reflects the fatigue of receptors sensitive to sour tastes"
1252,"Now try tasting something salty, sweet, or bitter"
1253,These substances taste about the same as usual
1254,"In short, you experience little cross-adaptation ― reduced response to one taste after exposure to another"
1255,"Evidently, the sour receptors are different from the other taste receptors"
1256,"Similarly, you can show that salt receptors are different from the others and so forth. 207번 문단"
1257,I observe the moon wherever I go
1258,"What phase is it in, I wonder? When will it reach the full moon phase? Now imagine what happened to me recently when I was teaching in Australia, 12,000 miles from my hometown in North America"
1259,"Shortly after my arrival, seeing that the skies were cloudy, I checked the newspaper for a weather report"
1260,"Typically, the weather page also gives times for sunrise and sunset as well as moonrise and moonset"
1261,"Picture my surprise when I discovered that the illustrations in the newspaper were, by my experience, wrong"
1262,The waxing moon appeared to be illuminated on the left side rather than the right side as I had always known it to be
1263,"“I must call the newspaper,” I thought"
1264,But I continued to study the images in the newspaper and then consulted a globe
1265,"When I imagined myself standing on a spot in the southern hemisphere, the answer came to me"
1266,"Here, indeed, south of the equator, the waxing moon appears to be on the left"
1267,"Try this in your imagination, and you will see it, too"
1268,The point is that often we do not see things as they are
1269,"Instead, we see things as we are"
1270,That is why it is necessary in science to have many people making many observations of the same phenomenon. 208번 문단
1271,The ultimate power is the power to get people to do as you wish
1272,"When you can do this without having to force people or hurt them, when they willingly grant you what you desire, then your power is untouchable"
1273,The best way to achieve this position is to create a relationship of dependence
1274,"The master requires your services; he is weak, or unable to function without you; you have involved yourself in his work so deeply that doing away with you would bring him great difficulty, or at least would mean valuable time lost in training another to replace you"
1275,"Once such a relationship is established, you have the upper hand to make the master do as you wish. 209번 문단"
1276,"If you were a butterfly, would you be attracted to a more colorful flower or a less colorful one? Most of you would probably prefer the more colorful option"
1277,The same is true for pollinators such as bees and butterflies
1278,"For years, biologists have known that flowers use striking colors, scents, elaborately shaped petals, and nectar to attract pollinators"
1279,Scientists have discovered that mobile flowers are visited more often by pollinating insects than their more static counterparts
1280,"It is almost as if the flowers are waving to the insects, saying, “Welcome"
1281,"Come here and have a drink.” Along with this interesting finding, scientists have also concluded that, due to their greater range of motion, flowers with long, thin stalks attract more insects. 210번 문단"
1282,"A brilliant friend of mine once told me, “When you suddenly see a problem, something happens that you have the answer―before you are able to put it into words"
1283,It is all done subconsciously
1284,"This has happened many times to me.” The French philosopher and mathematician Blaise Pascal is famous for saying, “The heart has its reasons that reason cannot know.” The great nineteenth-century mathematician Carl Friedrich Gauss also admitted that intuition often led him to ideas he could not immediately prove"
1285,"He said, “I have had my results for a long time; but I do not yet know how I am to arrive at them.” Fittingly so, sometimes true genius simply cannot be put into words. 211번 문단"
1286,Researchers have come to understand how the African village weaverbird prevents itself from being taken advantage of by cuckoos―it is all down to the speckles on the eggs
1287,"David Lahti and his colleagues have described how village weaverbirds lay eggs which all show a very similar pattern of speckles, suggesting that if a cuckoo laid an egg in the nest, the weaverbird will be able to spot the foreign egg almost immediately"
1288,"But when the researchers studied two colonies of the birds that had been introduced more than 200 years ago to two islands without any cuckoos, they found that those birds’ eggs no longer exhibited the same speckle patterns. 212번 문단"
1289,Why don’t we think differently more often? The reason is that we do not need to be creative for most of what we do
1290,"For example, we do not need to be creative when we are driving on the freeway, or riding in an elevator, or waiting in line at a grocery store"
1291,"For most of our activities, these routines are indispensable"
1292,"Without them, our lives would be in chaos, and we would not get much accomplished"
1293,"If you got up this morning and started contemplating the shape of your toothbrush or questioning the meaning of toast, you probably would not make it to work. 213번 문단"
1294,"In Chinese food, the idea is that it should be boiling hot, because that is crucial to its flavor, embodied in the phrase wok hei, which means the ‘breath’ or essence of the combination of tastes added by a hot wok"
1295,In 2005 Belgian researchers at Leuven University confirmed just how the link between temperature and taste works
1296,"They identified microscopic channels in our taste buds, which seem to respond differently at different temperatures"
1297,"Apparently, the higher the temperature, the more intense the flavor"
1298,"In a similar way, some bitter tastes, like tea, taste better when hot because they are more intense. 214번 문단"
1299,"Unlike the novel, short story, or play, film is not handy to study; it cannot be effectively frozen on the printed page"
1300,The novel and short story are relatively easy to study because they are written to be read
1301,The stage play is slightly more difficult to study because it is written to be performed
